id,decimalLongitude,decimalLatitude,eventDate,institutionCode,collectionCode,catalogNumber,datasetName,phylum,order,family,genus,scientificName,originalScientificName,scientificNameAuthorship,obisID,resourceID,yearcollected,species,qc,aphiaID,speciesID,scientificNameID,class,depth,basisOfRecord,locality,minimumDepthInMeters,maximumDepthInMeters,continent,datasetID,eventID,geodeticDatum,modified,occurrenceID,occurrenceStatus,lifestage,coordinateUncertaintyInMeters,recordedBy,dynamicProperties,bibliographicCitation,specificEpithet,individualCount,identifiedBy,fieldNumber,otherCatalogNumbers,recordNumber,sex,references,occurrenceRemarks,eventTime
719033665,5.333333333,55.08333333,2000-07-01 10:00:00,VLIZ,NSBP,NSBP_project_30484,Macrozoobenthos data from the southeastern North Sea in 2000,Mollusca,Cardiida,Semelidae,Abra,Abra alba,Abra alba,"(W. Wood, 1802)",395450,712,2000,Abra alba,1073213567,141433,395450,urn:lsid:marinespecies.org:taxname:141433,Bivalvia,41,HumanObservation,"North Sea, station 427",41,41,NorthSea,IMIS:dasid:1680,427_2,EPSG:4326,2015-08-24 16:45:17,30484,present,juvenile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
719033736,8.333333333,54.25,2000-07-01 10:00:00,VLIZ,NSBP,NSBP_project_25923,Macrozoobenthos data from the southeastern North Sea in 2000,Mollusca,Cardiida,Semelidae,Abra,Abra alba,Abra alba,"(W. Wood, 1802)",395450,712,2000,Abra alba,1073213567,141433,395450,urn:lsid:marinespecies.org:taxname:141433,Bivalvia,14,HumanObservation,"North Sea, station 499",14,14,NorthSea,IMIS:dasid:1680,499_2,EPSG:4326,2015-08-24 16:45:17,25923,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
719033760,8.25,54,2000-07-01 10:00:00,VLIZ,NSBP,NSBP_project_28519,Macrozoobenthos data from the southeastern North Sea in 2000,Mollusca,Cardiida,Semelidae,Abra,Abra alba,Abra alba,"(W. Wood, 1802)",395450,712,2000,Abra alba,1073213567,141433,395450,urn:lsid:marinespecies.org:taxname:141433,Bivalvia,26,HumanObservation,"North Sea, station 497",26,26,NorthSea,IMIS:dasid:1680,497_1,EPSG:4326,2015-08-24 16:45:17,28519,present,juvenile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
719033873,8.25,54,2000-07-01 10:00:00,VLIZ,NSBP,NSBP_project_28533,Macrozoobenthos data from the southeastern North Sea in 2000,Mollusca,Cardiida,Semelidae,Abra,Abra alba,Abra alba,"(W. Wood, 1802)",395450,712,2000,Abra alba,1073213567,141433,395450,urn:lsid:marinespecies.org:taxname:141433,Bivalvia,26,HumanObservation,"North Sea, station 497",26,26,NorthSea,IMIS:dasid:1680,497_1,EPSG:4326,2015-08-24 16:45:17,28533,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
719034263,7.561666667,53.8,2000-07-01 10:00:00,VLIZ,NSBP,NSBP_project_25979,Macrozoobenthos data from the southeastern North Sea in 2000,Mollusca,Cardiida,Semelidae,Abra,Abra alba,Abra alba,"(W. Wood, 1802)",395450,712,2000,Abra alba,1073213567,141433,395450,urn:lsid:marinespecies.org:taxname:141433,Bivalvia,17,HumanObservation,"North Sea, station 571",17,17,NorthSea,IMIS:dasid:1680,571_1,EPSG:4326,2015-08-24 16:45:17,25979,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
719034401,7.5,53.83333333,2000-07-01 10:00:00,VLIZ,NSBP,NSBP_project_28444,Macrozoobenthos data from the southeastern North Sea in 2000,Mollusca,Cardiida,Semelidae,Abra,Abra alba,Abra alba,"(W. Wood, 1802)",395450,712,2000,Abra alba,1073213567,141433,395450,urn:lsid:marinespecies.org:taxname:141433,Bivalvia,20,HumanObservation,"North Sea, station 494",20,20,NorthSea,IMIS:dasid:1680,494_2,EPSG:4326,2015-08-24 16:45:17,28444,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
719034404,8.216666667,54.5,2000-07-01 10:00:00,VLIZ,NSBP,NSBP_project_27268,Macrozoobenthos data from the southeastern North Sea in 2000,Mollusca,Cardiida,Semelidae,Abra,Abra alba,Abra alba,"(W. Wood, 1802)",395450,712,2000,Abra alba,1073213567,141433,395450,urn:lsid:marinespecies.org:taxname:141433,Bivalvia,12,HumanObservation,"North Sea, station 501",12,12,NorthSea,IMIS:dasid:1680,501_1,EPSG:4326,2015-08-24 16:45:17,27268,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
719034405,8.216666667,54.5,2000-07-01 10:00:00,VLIZ,NSBP,NSBP_project_27269,Macrozoobenthos data from the southeastern North Sea in 2000,Mollusca,Cardiida,Semelidae,Abra,Abra alba,Abra alba,"(W. Wood, 1802)",395450,712,2000,Abra alba,1073213567,141433,395450,urn:lsid:marinespecies.org:taxname:141433,Bivalvia,12,HumanObservation,"North Sea, station 501",12,12,NorthSea,IMIS:dasid:1680,501_1,EPSG:4326,2015-08-24 16:45:17,27269,present,juvenile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
719034412,8,54.05,2000-07-01 10:00:00,VLIZ,NSBP,NSBP_project_26001,Macrozoobenthos data from the southeastern North Sea in 2000,Mollusca,Cardiida,Semelidae,Abra,Abra alba,Abra alba,"(W. Wood, 1802)",395450,712,2000,Abra alba,1073213567,141433,395450,urn:lsid:marinespecies.org:taxname:141433,Bivalvia,30,HumanObservation,"North Sea, station 573",30,30,NorthSea,IMIS:dasid:1680,573_1,EPSG:4326,2015-08-24 16:45:17,26001,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
719034413,8,54.05,2000-07-01 10:00:00,VLIZ,NSBP,NSBP_project_26002,Macrozoobenthos data from the southeastern North Sea in 2000,Mollusca,Cardiida,Semelidae,Abra,Abra alba,Abra alba,"(W. Wood, 1802)",395450,712,2000,Abra alba,1073213567,141433,395450,urn:lsid:marinespecies.org:taxname:141433,Bivalvia,30,HumanObservation,"North Sea, station 573",30,30,NorthSea,IMIS:dasid:1680,573_1,EPSG:4326,2015-08-24 16:45:17,26002,present,juvenile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
